Num,Order,Family,ACE2,ACE2conservation
3687,PILOSA,Nothrotheriidae,NO DATA,N
3706,NOTORYCTEMORPHIA,NOTORYCTIDAE,NO DATA,N
3717,CHIROPTERA,NYCTERIDAE,NO DATA,N
3798,LAGOMORPHA,OCHOTONIDAE,LOW,L
3809,RODENTIA,OCTODONTIDAE,LOW,L
3814,CARNIVORA,ODOBENIDAE,VERY LOW,VL
3874,MONOTREMATA,ORNITHORHYNCHIDAE,VERY LOW,VL
3886,TUBULIDENTATA,ORYCTEROPODIDAE,VERY LOW,VL
556,CARNIVORA,OTARIIDAE,VERY LOW,VL
3976,PRIMATES,PALAEOPROPITHECIDAE,NO DATA,N
4052,RODENTIA,PEDETIDAE,NO DATA,N
1513,PERAMELEMORPHIA,PERAMELIDAE,NO DATA,N
1304,DIPROTODONTIA,PETAURIDAE,NO DATA,N
4197,RODENTIA,PETROMURIDAE,VERY LOW,VL
77,DIPROTODONTIA,PHALANGERIDAE,NO DATA,N
4227,DIPROTODONTIA,PHASCOLARCTIDAE,VERY LOW,VL
3101,CARNIVORA,PHOCIDAE,VERY LOW,VL
3575,ARTIODACTYLA,PHOCOENIDAE,HIGH,H
199,CHIROPTERA,PHYLLOSTOMIDAE,VERY LOW,VL
4298,ARTIODACTYLA,PHYSETERIDAE,MEDIUM,M
526,PRIMATES,PITHECIIDAE,MEDIUM,M
4375,RODENTIA,PLATACANTHOMYIDAE,NO DATA,N
4377,ARTIODACTYLA,PLATANISTIDAE,NO DATA,N
59,DIPROTODONTIA,POTOROIDAE,NO DATA,N
4472,CARNIVORA,PRIONODONTIDAE,NO DATA,N
2053,HYRACOIDEA,PROCAVIIDAE,LOW,VL_L
3518,CARNIVORA,PROCYONIDAE,NO DATA,N
4516,LAGOMORPHA,PROLAGIDAE,NO DATA,N
2025,DIPROTODONTIA,PSEUDOCHEIRIDAE,NO DATA,N
1291,CHIROPTERA,PTEROPODIDAE,LOW,VL_L
4693,SCANDENTIA,PTILOCERCIDAE,NO DATA,N
696,PERISSODACTYLA,RHINOCEROTIDAE,LOW,L
4845,CHIROPTERA,RHINOLOPHIDAE,LOW,VL_L
4916,CHIROPTERA,RHINOPOMATIDAE,NO DATA,N
2267,RODENTIA,SCIURIDAE,MEDIUM,M
5189,EULIPOTYPHLA,SOLENODONTIDAE,VERY LOW,VL
5200,EULIPOTYPHLA,SORICIDAE,VERY LOW,VL
614,RODENTIA,SPALACIDAE,NO DATA,N
5421,ARTIODACTYLA,SUIDAE,LOW,L
5464,MONOTREMATA,TACHYGLOSSIDAE,NO DATA,N
913,EULIPOTYPHLA,TALPIDAE,VERY LOW,VL
5544,PERISSODACTYLA,TAPIRIDAE,LOW,L
5555,PRIMATES,TARSIIDAE,LOW,L
5548,DIPROTODONTIA,TARSIPEDIDAE,NO DATA,N
659,ARTIODACTYLA,TAYASSUIDAE,VERY LOW,VL
1509,AFROSORICIDA,TENRECIDAE,VERY LOW,VL
5645,RODENTIA,THRYONOMYIDAE,VERY LOW,VL
5646,DASYUROMORPHIA,THYLACINIDAE,NO DATA,N
2659,PERAMELEMORPHIA,THYLACOMYIDAE,NO DATA,N
5667,CHIROPTERA,THYROPTERIDAE,NO DATA,N
5710,ARTIODACTYLA,TRAGULIDAE,LOW,L
5725,SIRENIA,TRICHECHIDAE,LOW,L
5746,SCANDENTIA,TUPAIIDAE,VERY LOW,VL
76,CARNIVORA,URSIDAE,LOW,L
1620,CHIROPTERA,VESPERTILIONIDAE,VERY LOW,VL
3975,CARNIVORA,VIVERRIDAE,VERY LOW,VL
5857,DIPROTODONTIA,VOMBATIDAE,VERY LOW,VL
2884,ARTIODACTYLA,ZIPHIIDAE,VERY LOW,VL
